"";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5396-1.id.csv";"peptide.count.P5396-2.id.csv";"spectra.count.P5396-1.id.csv";"spectra.count.P5396-2.id.csv";"dNSAF.P5396-1.id.csv";"dNSAF.P5396-2.id.csv";"Go.Cc"
"1";"P00338";"P00338-1,P00338-3";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";3;3;0,00458599802681701;0;3;0;3;NA;NA;"extracellular vesicular exosome, cilium, nucleus, cytosol, mitochondrion"
"2";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";8;14;0,0243413484397002;5;7;6;8;0,0210886810317436;0,0331810982135345;"cytosol, extracellular vesicular exosome"
"3";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";1;2;0,00660122908996953;1;1;1;1;0,00665605692543762;0,00789094961181775;"cytoplasm, cell periphery, nucleus, keratin filament, intermediate filament, cytosol, extracellular vesicular exosome"
"4";"P02538";"P02538";"K2C6A_HUMAN";"Keratin, type II cytoskeletal 6A";"KRT6A";2;2;0,0110395504620022;2;0;2;0;0,020789550804343;0;"extracellular vesicular exosome, nucleus, keratin filament"
"5";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome"
"6";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";18;90;0,133182787013363;15;17;46;44;0,140008442256957;0,152575865619643;"plasma membrane, extracellular vesicular exosome, membrane, keratin filament, cytoskeleton, nucleus, blood microparticle, extracellular space"
"7";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";4;11;0,0238067729835618;3;4;5;6;0,0218755721150176;0,0309772790038296;"nucleus, extracellular vesicular exosome, cytosol, ribonucleoprotein complex, cytoplasm, microtubule cytoskeleton, lipid particle, plasma membrane, perinuclear region of cytoplasm, GAIT complex"
"8";"P05165";"P05165-1,P05165-2";"PCCA_HUMAN";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";18;41;0,0204162104726037;13;17;19;22;NA;NA;"cytosol, mitochondrial matrix"
"9";"P05166";"P05166-1,P05166-2";"PCCB_HUMAN";"Propionyl-CoA carboxylase beta chain, mitochondrial";"PCCB";6;9;0,00605307982336303;4;4;4;5;NA;NA;"mitochondrial matrix, cytosol, mitochondrion"
"10";"P05787";"P05787,P08729,P14136-1,P14136-2,P14136-3";"GFAP_HUMAN, K2C7_HUMAN, K2C8_HUMAN";"Glial fibrillary acidic protein, Keratin, type II cytoskeletal 7, Keratin, type II cytoskeletal 8";"GFAP, KRT7, KRT8";0;0;0;0;0;0;0;0;NA;"nucleoplasm, extracellular vesicular exosome, intermediate filament, Z disc, costamere, nuclear matrix, cytoplasm, keratin filament, nucleus, dystrophin-associated glycoprotein complex, sarcolemma"
"11";"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";3;5;0,0163293795034668;2;3;2;3;NA;NA;"extracellular vesicular exosome, nucleus"
