"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5831.1.id.csv";"peptide.count.P5831.2.id.csv";"spectra.count.P5831.1.id.csv";"spectra.count.P5831.2.id.csv";"dNSAF.P5831.1.id.csv";"dNSAF.P5831.2.id.csv";"Go.Cc";"norm.sc"
"27";27;"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";1;2;0,000788968894120698;1;1;1;1;0,000862155147881527;0,0010920896551447;"mitochondrial inner membrane, nucleus, mitochondrial membrane, mitochondrial respiratory chain complex I, mitochondrion";0,000644122383252818
"28";28;"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";2;2;0,000159729898809712;2;NA;2;NA;0,000349093495461232;NA;"catalytic step 2 spliceosome, nucleus, spliceosomal complex, nucleoplasm, U12-type spliceosomal complex, nuclear speck, intracellular membrane-bounded organelle";0,000644122383252818
"35";35;"O95202";"O95202-1";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";1;1;0,000140925431696796;1;NA;1;NA;NA;NA;"mitochondrial inner membrane, integral component of membrane, mitochondrion";0,000322061191626409
"37";37;"O95831";"O95831-1,O95831-3,O95831-4";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";2;2;0,000113261439939024;2;NA;2;NA;NA;NA;"cytosol, mitochondrial inner membrane, nucleus, mitochondrion, mitochondrial intermembrane space, perinuclear region of cytoplasm";0,000644122383252818
"45";45;"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";2;4;0,0006862859573241;2;2;2;2;0,000749947146756913;0,00094995607564481;"endoplasmic reticulum membrane, oligosaccharyltransferase complex, integral component of membrane, melanosome, rough endoplasmic reticulum";0,00128824476650564
"88";88;"P12270";"P12270";"TPR_HUMAN";"Nucleoprotein TPR";"TPR";15;24;0,00105774585551179;12;10;13;11;0,00125218640183216;0,00134211949155319;"nuclear envelope, mitotic spindle, extrinsic component of membrane, kinetochore, nuclear membrane, nuclear inclusion body, cytoplasm, nuclear pore, cytoplasmic dynein complex, nucleus, nuclear pore nuclear basket, nucleoplasm, nuclear periphery";0,00772946859903382
"89";89;"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";5;12;0,00205209643396911;4;5;5;7;0,00186871066535897;0,0033139272294046;"membrane, nonhomologous end joining complex, nucleus, nucleoplasm, nucleolus, nuclear telomere cap complex, Ku70:Ku80 complex, cytosol, transcription factor complex";0,00386473429951691
"116";116;"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";6;9;0,00159947960105015;5;4;5;4;0,00194205596451129;0,00196799774032901;"lamin filament, nuclear inner membrane, nuclear envelope, nuclear membrane, nucleoplasm";0,00289855072463768
"127";127;"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";2;2;0,000257781915900822;2;NA;2;NA;0,000563388512477037;NA;"perinuclear region of cytoplasm, centrosome, nucleoplasm, nucleus, MCM complex, alpha DNA polymerase:primase complex, intracellular membrane-bounded organelle";0,000644122383252818
"146";146;"P29590";"P29590-1,P29590-2,P29590-3,P29590-4,P29590-5,P29590-8,P29590-9";"PML_HUMAN";"Protein PML";"PML";2;2;3,37362792432563e-05;2;NA;2;NA;NA;NA;"nuclear membrane, cytosol, early endosome membrane, nuclear matrix, extrinsic component of endoplasmic reticulum membrane, nucleoplasm, nucleolus, cytoplasm, PML body, nucleus";0,000644122383252818
