"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P6159-1.id.csv";"peptide.count.P6159-2.id.csv";"spectra.count.P6159-1.id.csv";"spectra.count.P6159-2.id.csv";"dNSAF.P6159-1.id.csv";"dNSAF.P6159-2.id.csv"
"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";9;11;0,0356675418271239;7;4;7;4;0,0430806169111954;0,045688613273888
"P04075-1,P04075-2";"P04075-1,P04075-2";"P04075-[1,2]";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";8;12;0,0301588485539237;7;5;7;5;NA;NA
"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";6;9;0,0775756814248226;4;5;4;5;0,065440477662663;0,15181706295155
"P22626-1,P22626-2";"P22626-1,P22626-2";"P22626-[1,2]";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";5;7;0,0170070702273808;4;3;4;3;NA;NA
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";5;5;0,0148638172574039;5;NA;5;NA;0,0282119910200822;NA
"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"P61978-[1-3]";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";4;4;0,00493962422319485;1;3;1;3;NA;NA
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4F,HIST1H4L,HIST1H4H,HIST2H4B,HIST1H4I,HIST1H4B,HIST1H4A,HIST1H4E,HIST4H4,HIST2H4A,HIST1H4C,HIST1H4K,HIST1H4D,HIST1H4J";4;6;0,0999194861070531;3;3;3;3;0,0948251581665287;0,175989876858399
"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"Q00839-[1,2]";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";4;6;0,0062373982236524;3;2;4;2;NA;NA
"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;4;0,0334815295038399;3;1;3;1;0,0494948882997591;0,0272176536282509
"P78371-1";"P78371-1";"P78371-1";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";3;3;0,00961841782152006;3;NA;3;NA;NA;NA
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";2;4;0,0297018963031067;2;1;2;2;0,028187565053831;0,0523144511296251
"P05388";"P05388";"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";2;2;0,0108219842997124;2;NA;2;NA;0,0205404653862302;NA
"P07910-1,P07910-2,P07910-4";"P07910-1,P07910-2,P07910-4";"P07910-[1,2,4]";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";3;3;0,0056055049395569;NA;3;NA;3;NA;NA
"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"P09651-[1-3]";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";5;7;0,0107589530291495;2;5;2;5;NA;NA
"P10412,P16402,P16403";"P10412,P16402,P16403";"P10412, P16402, P16403";"H12_HUMAN, H13_HUMAN, H14_HUMAN";"Histone H1.2, Histone H1.3, Histone H1.4";"HIST1H1C, HIST1H1D, HIST1H1E";2;2;0,0052535513369201;2;NA;2;NA;0,00997140509561251;NA
"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";2;2;0,00598703145376758;NA;2;NA;2;NA;0,021090119041786
"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";2;2;0,00524551838380554;2;NA;2;NA;0,00995615829883023;NA
"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";2;3;0,00599749829197347;2;NA;3;NA;0,0113834397332779;NA
"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";2;4;0,00854438112829096;2;1;3;1;0,0121631273862422;0,00752468132686388
"P25705-1,P25705-2";"P25705-1,P25705-2";"P25705-[1,2]";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";2;2;0,00310178031013456;NA;2;NA;2;NA;NA
"P30049";"P30049";"P30049";"ATPD_HUMAN";"ATP synthase subunit delta, mitochondrial";"ATP5D";2;2;0,0204200537083858;2;NA;2;NA;0,0387579019490177;NA
"Q07020";"Q07020";"Q07020";"RL18_HUMAN";"60S ribosomal protein L18";"RPL18";2;4;0,0364954151383917;2;2;2;2;0,0346347208906115;0,0642799904837414
"A5A3E0,P60709,P62736,P63261,P63267-1,P63267-2,P68032,P68133,Q562R1,Q6S8J3-1,Q9BYX7";"A5A3E0,P60709,P62736,P63261,P63267-1,P63267-2,P68032,P68133,Q562R1,Q6S8J3-1,Q9BYX7";"A5A3E0, P60709, P62736, P63261, P63267-[1,2], P68032, P68133, Q562R1, Q6S8J3-1, Q9BYX7";"ACTA_HUMAN, ACTB_HUMAN, ACTBL_HUMAN, ACTBM_HUMAN, ACTC_HUMAN, ACTG_HUMAN, ACTH_HUMAN, ACTS_HUMAN, POTEE_HUMAN, POTEF_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle, Actin, aortic smooth muscle, Actin, cytoplasmic 1, Actin, cytoplasmic 2, Actin, gamma-enteric smooth muscle, Beta-actin-like protein 2, POTE ankyrin domain family member E, POTE ankyrin domain family member F, Putative beta-actin-like protein 3";"ACTA1, ACTA2, ACTB, ACTBL2, ACTC1, ACTG1, ACTG2, POTEE, POTEF, POTEKP";1;1;0,000309953832942611;1;NA;1;NA;0,000878247575861204;NA
"O14773-1,O14773-2";"O14773-1,O14773-2";"O14773-[1,2]";"TPP1_HUMAN";"Tripeptidyl-peptidase 1";"TPP1";1;1;0,00152334326066111;1;NA;1;NA;NA;NA
"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";1;1;0,00571761503834804;1;NA;1;NA;0,0108522125457249;NA
"O75526,P38159-1,P38159-3,Q8N7X1,Q96E39";"O75526,P38159-1,P38159-3,Q8N7X1,Q96E39";"O75526, P38159-[1,3], Q8N7X1, Q96E39";"RBMX_HUMAN, RMXL1_HUMAN, RMXL2_HUMAN, RMXL3_HUMAN";"RNA-binding motif protein, X-linked-like-2, RNA-binding motif protein, X-linked-like-3, RNA-binding motif protein, X chromosome, RNA binding motif protein, X-linked-like-1";"RBMX, RBMXL1, RBMXL2, RBMXL3";1;1;0,000651951543711293;NA;1;NA;1;NA;0,00326788485963856
"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";1;1;0,00411339211391945;1;NA;1;NA;0,0078073471551978;NA
"P01891,P01892,P04439,P05534,P10314,P10316,P10319,P13746-1,P13746-2,P16188,P16189,P16190,P18462,P18464,P18465,P30443,P30447,P30450,P30453,P30455,P30456,P30457,P30459,P30464,P30484,P30490,P30491,P30492,P30493,P30495,P30498,P30504,P30508,P30510,P30512,P30685,Q29940,Q29960-1,Q29960-2,Q95604";"P01891,P01892,P04439,P05534,P10314,P10316,P10319,P13746-1,P13746-2,P16188,P16189,P16190,P18462,P18464,P18465,P30443,P30447,P30450,P30453,P30455,P30456,P30457,P30459,P30464,P30484,P30490,P30491,P30492,P30493,P30495,P30498,P30504,P30508,P30510,P30512,P30685,Q29940,Q29960-1,Q29960-2,Q95604";"P01891, P01892, P04439, P05534, P10314, P10316, P10319, P13746-[1,2], P16188, P16189, P16190, P18462, P18464, P18465, P30443, P30447, P30450, P30453, P30455, P30456, P30457, P30459, P30464, P30484, P30490, P30491, P30492, P30493, P30495, P30498, P30504, P30508, P30510, P30512, P30685, Q29940, Q29960-[1,2], Q95604";"1A01_HUMAN, 1A02_HUMAN, 1A03_HUMAN, 1A11_HUMAN, 1A23_HUMAN, 1A24_HUMAN, 1A25_HUMAN, 1A26_HUMAN, 1A29_HUMAN, 1A30_HUMAN, 1A31_HUMAN, 1A32_HUMAN, 1A33_HUMAN, 1A34_HUMAN, 1A36_HUMAN, 1A43_HUMAN, 1A66_HUMAN, 1A68_HUMAN, 1A69_HUMAN, 1A74_HUMAN, 1B15_HUMAN, 1B35_HUMAN, 1B46_HUMAN, 1B51_HUMAN, 1B52_HUMAN, 1B53_HUMAN, 1B54_HUMAN, 1B55_HUMAN, 1B56_HUMAN, 1B57_HUMAN, 1B58_HUMAN, 1B59_HUMAN, 1B78_HUMAN, 1C04_HUMAN, 1C12_HUMAN, 1C14_HUMAN, 1C16_HUMAN, 1C17_HUMAN";"HLA class I histocompatibility antigen, A-1 alpha chain, HLA class I histocompatibility antigen, A-11 alpha chain, HLA class I histocompatibility antigen, A-2 alpha chain, HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain, HLA class I histocompatibility antigen, A-25 alpha chain, HLA class I histocompatibility antigen, A-26 alpha chain, HLA class I histocompatibility antigen, A-29 alpha chain, HLA class I histocompatibility antigen, A-3 alpha chain, HLA class I histocompatibility antigen, A-30 alpha chain, HLA class I histocompatibility antigen, A-31 alpha chain, HLA class I histocompatibility antigen, A-32 alpha chain, HLA class I histocompatibility antigen, A-33 alpha chain, HLA class I histocompatibility antigen, A-34 alpha chain, HLA class I histocompatibility antigen, A-36 alpha chain, HLA class I histocompatibility antigen, A-43 alpha chain, HLA class I histocompatibility antigen, A-66 alpha chain, HLA class I histocompatibility antigen, A-68 alpha chain, HLA class I histocompatibility antigen, A-69 alpha chain, HLA class I histocompatibility antigen, A-74 alpha chain, HLA class I histocompatibility antigen, B-15 alpha chain, HLA class I histocompatibility antigen, B-35 alpha chain, HLA class I histocompatibility antigen, B-46 alpha chain, HLA class I histocompatibility antigen, B-51 alpha chain, HLA class I histocompatibility antigen, B-52 alpha chain, HLA class I histocompatibility antigen, B-53 alpha chain, HLA class I histocompatibility antigen, B-54 alpha chain, HLA class I histocompatibility antigen, B-55 alpha chain, HLA class I histocompatibility antigen, B-56 alpha chain, HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain, HLA class I histocompatibility antigen, B-59 alpha chain, HLA class I histocompatibility antigen, B-78 alpha chain, HLA class I histocompatibility antigen, Cw-12 alpha chain, HLA class I histocompatibility antigen, Cw-14 alpha chain, HLA class I histocompatibility antigen, Cw-16 alpha chain, HLA class I histocompatibility antigen, Cw-17 alpha chain, HLA class I histocompatibility antigen, Cw-4 alpha chain";"HLA-A, HLA-B, HLA-C";1;1;0,000117702910279586;NA;1;NA;1;NA;0,000460858752610151
"P01911,P01912,P04229,P13761,P20039,P79483,Q29974,Q30134,Q5Y7A7,Q95IE3,Q9TQE0";"P01911,P01912,P04229,P13761,P20039,P79483,Q29974,Q30134,Q5Y7A7,Q95IE3,Q9TQE0";"P04229, P20039, Q5Y7A7, P01912, Q9TQE0, Q29974, Q95IE3, P13761, P79483, Q30134, P01911";"2B11_HUMAN, 2B13_HUMAN, 2B17_HUMAN, 2B18_HUMAN, 2B19_HUMAN, 2B1B_HUMAN, 2B1C_HUMAN, 2B1D_HUMAN, 2B1F_HUMAN, 2B1G_HUMAN, DRB3_HUMAN";"HLA class II histocompatibility antigen, DR beta 3 chain, HLA class II histocompatibility antigen, DRB1-1 beta chain, HLA class II histocompatibility antigen, DRB1-11 beta chain, HLA class II histocompatibility antigen, DRB1-12 beta chain, HLA class II histocompatibility antigen, DRB1-13 beta chain, HLA class II histocompatibility antigen, DRB1-15 beta chain, HLA class II histocompatibility antigen, DRB1-16 beta chain, HLA class II histocompatibility antigen, DRB1-3 chain, HLA class II histocompatibility antigen, DRB1-7 beta chain, HLA class II histocompatibility antigen, DRB1-8 beta chain, HLA class II histocompatibility antigen, DRB1-9 beta chain";"HLA-DRB1, HLA-DRB3";1;1;0,000586221637561316;NA;1;NA;1;NA;0,00206504412353783
"P03989,P30479,P30481,P30483,P30485,P30487,P30488,Q04826";"P03989,P30479,P30481,P30483,P30485,P30487,P30488,Q04826";"P30488, P30481, P30483, P30487, P30485, P03989, P30479, Q04826";"1B27_HUMAN, 1B40_HUMAN, 1B41_HUMAN, 1B44_HUMAN, 1B45_HUMAN, 1B47_HUMAN, 1B49_HUMAN, 1B50_HUMAN";"HLA class I histocompatibility antigen, B-27 alpha chain, HLA class I histocompatibility antigen, B-40 alpha chain, HLA class I histocompatibility antigen, B-41 alpha chain, HLA class I histocompatibility antigen, B-44 alpha chain, HLA class I histocompatibility antigen, B-45 alpha chain, HLA class I histocompatibility antigen, B-47 alpha chain, HLA class I histocompatibility antigen, B-49 alpha chain, HLA class I histocompatibility antigen, B-50 alpha chain";"HLA-B";1;1;0,000592294375519479;1;NA;1;NA;0,00112419328857648;NA
"P04264,P05787-1,P05787-2,P08729,P14136-1,P14136-2,P14136-3,P19013,Q6KB66-1,Q6KB66-2,Q6KB66-3";"P04264,P05787-1,P05787-2,P08729,P14136-1,P14136-2,P14136-3,P19013,Q6KB66-1,Q6KB66-2,Q6KB66-3";"P04264, P05787-[1,2], P08729, P14136-[1-3], P19013, Q6KB66-[1-3]";"GFAP_HUMAN, K2C1_HUMAN, K2C4_HUMAN, K2C7_HUMAN, K2C8_HUMAN, K2C80_HUMAN";"Glial fibrillary acidic protein, Keratin, type II cytoskeletal 1, Keratin, type II cytoskeletal 4, Keratin, type II cytoskeletal 7, Keratin, type II cytoskeletal 8, Keratin, type II cytoskeletal 80";"GFAP, KRT1, KRT4, KRT7, KRT8, KRT80";1;1;0,000325790030675102;1;NA;1;NA;0,00197672359667121;NA
"P04406-1";"P04406-1";"P04406-1";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";9;14;0,0716835318240649;8;3;11;3;NA;NA
"P05496,P48201,Q06055-1,Q06055-2,Q06055-3";"P05496,P48201,Q06055-1,Q06055-2,Q06055-3";"P05496, P48201, Q06055-[1-3]";"AT5G1_HUMAN, AT5G2_HUMAN, AT5G3_HUMAN";"ATP synthase F(0) complex subunit C1, mitochondrial, ATP synthase F(0) complex subunit C2, mitochondrial, ATP synthase F(0) complex subunit C3, mitochondrial";"ATP5G1, ATP5G2, ATP5G3";1;1;0,00244691085806621;1;NA;1;NA;0,0117110207327967;NA
"P06733-1,P06733-2,P09104,P13929-1,P13929-2,P13929-3";"P06733-1,P06733-2,P09104,P13929-1,P13929-2,P13929-3";"P06733-[1,2], P09104, P13929-[1-3]";"ENOA_HUMAN, ENOB_HUMAN, ENOG_HUMAN";"Alpha-enolase, Beta-enolase, Gamma-enolase";"ENO1, ENO2, ENO3";1;1;0,000658711409947931;1;NA;1;NA;0,00750152940948729;NA
