"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5747.3.id.csv";"peptide.count.P5747.4.id.csv";"spectra.count.P5747.3.id.csv";"spectra.count.P5747.4.id.csv";"dNSAF.P5747.3.id.csv";"dNSAF.P5747.4.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NM62";"A6NM62";"LRC53_HUMAN";"Leucine-rich repeat-containing protein 53";"LRRC53";1;1;2,50421239248159e-05;NA;1;NA;1;NA;6,61783536157183e-05;"integral component of membrane";8,35491686857716e-05
"3";3;"A6NMY6";"A6NMY6,P07355-1,P07355-2";"ANXA2_HUMAN, AXA2L_HUMAN";"Annexin A2, Putative annexin A2-like protein";"ANXA2, ANXA2P2";2;4;0,000122822137794476;2;2;2;2;0,000480385371823385;0,000486869657574046;"basement membrane, melanosome";0,000334196674743086
"9";9;"O00170";"O00170";"AIP_HUMAN";"AH receptor-interacting protein";"AIP";2;4;0,000378515497384794;2;2;2;2;0,000493486791054932;0,000500147920962429;"nucleus, cytosol, cytoplasm, membrane";0,000334196674743086
"18";18;"O00410";"O00410-1,O00410-3";"IPO5_HUMAN";"Importin-5";"IPO5";14;22;0,000313129274272288;8;13;9;13;NA;NA;"intracellular membrane-bounded organelle, nuclear pore, nuclear membrane, Golgi apparatus, nucleus, cytoplasm";0,00183808171108697
"28";28;"O14561";"O14561";"ACPM_HUMAN";"Acyl carrier protein, mitochondrial";"NDUFAB1";2;2;0,000400352929926224;NA;2;NA;2;NA;0,00105800521742052;"mitochondrial membrane, mitochondrial inner membrane, mitochondrial matrix, mitochondrial respiratory chain complex I";0,000167098337371543
"37";37;"O14929";"O14929-1,O14929-2";"HAT1_HUMAN";"Histone acetyltransferase type B catalytic subunit";"HAT1";3;5;0,000186321769297407;3;2;3;2;NA;NA;"nucleoplasm, protein complex, cytoplasm, intracellular membrane-bounded organelle, nuclear matrix, nuclear chromatin, nucleus";0,000417745843428858
"41";41;"O14980";"O14980";"XPO1_HUMAN";"Exportin-1";"XPO1";14;24;0,000699776549787014;12;11;13;11;0,000988355898051194;0,000847589613955937;"kinetochore, annulate lamellae, Cajal body, cytoplasm, nucleolus, ribonucleoprotein complex, nuclear envelope, nuclear membrane, cytosol, nucleoplasm, nucleus, intracellular membrane-bounded organelle";0,00200518004845852
"69";69;"O43747";"O43747-1,O43747-2";"AP1G1_HUMAN";"AP-1 complex subunit gamma-1";"AP1G1";2;3;5,69845411208859e-05;1;2;1;2;NA;NA;"trans-Golgi network membrane, perinuclear region of cytoplasm, clathrin-coated vesicle, clathrin adaptor complex, Golgi membrane, cytosol, AP-type membrane coat adaptor complex, clathrin-coated vesicle membrane, Golgi apparatus, cytoplasmic vesicle membrane, recycling endosome, lysosomal membrane, cytoplasm, intracellular membrane-bounded organelle";0,000250647506057315
"78";78;"O60506";"O60506-1,O60506-2,O60506-3,O60506-4";"HNRPQ_HUMAN";"Heterogeneous nuclear ribonucleoprotein Q";"SYNCRIP";9;16;0,000248235341096196;5;8;6;10;NA;NA;"histone pre-mRNA 3'end processing complex, membrane, GAIT complex, ribonucleoprotein complex, endoplasmic reticulum, nucleoplasm, CRD-mediated mRNA stability complex, catalytic step 2 spliceosome, nucleus";0,00133678669897235
"79";79;"O60610";"O60610-1,O60610-2,O60610-3";"DIAP1_HUMAN";"Protein diaphanous homolog 1";"DIAPH1";10;19;0,000155482977502795;10;6;12;7;NA;NA;"ruffle membrane, neuron projection, cytoplasm, mitotic spindle";0,00158743420502966
"80";80;"O60664";"O60664-1";"PLIN3_HUMAN";"Perilipin-3";"PLIN3";5;8;0,000575622645792543;2;5;3;5;NA;NA;"cytoplasm, intracellular membrane-bounded organelle, endosome, lipid particle, Golgi apparatus, endosome membrane";0,000668393349486173
"82";82;"O60763";"O60763-1,O60763-2";"USO1_HUMAN";"General vesicular transport factor p115";"USO1";2;4;6,49220967447931e-05;2;2;2;2;NA;NA;"endoplasmic reticulum, nucleolus, cytosol, Golgi membrane, ER to Golgi transport vesicle membrane, Golgi stack, Golgi apparatus";0,000334196674743086
"102";102;"O75533";"O75533";"SF3B1_HUMAN";"Splicing factor 3B subunit 1";"SF3B1";20;38;0,000910004665875252;15;18;17;21;0,00106152641787506;0,00132899735133038;"nuclear speck, nucleoplasm, U12-type spliceosomal complex, nucleus, intracellular membrane-bounded organelle, catalytic step 2 spliceosome, spliceosomal complex";0,00317486841005932
"106";106;"O75643";"O75643-1";"U520_HUMAN";"U5 small nuclear ribonucleoprotein 200 kDa helicase";"SNRNP200";12;18;0,000263153330344765;7;11;7;11;NA;NA;"membrane, nucleoplasm, nucleus, U5 snRNP, catalytic step 2 spliceosome, spliceosomal complex";0,00150388503634389
"107";107;"O75663";"O75663-1,O75663-2";"TIPRL_HUMAN";"TIP41-like protein";"TIPRL";4;7;0,000401824815698012;3;4;3;4;NA;NA;"cytoplasm, intracellular membrane-bounded organelle";0,000584844180800401
"116";116;"O76021";"O76021";"RL1D1_HUMAN";"Ribosomal L1 domain-containing protein 1";"RSL1D1";4;6;0,000382377900419332;2;4;2;4;0,000332348247036995;0,000673668628235108;"nucleolus, membrane";0,000501295012114629
"120";120;"O94979";"O94979-1,O94979-2,O94979-3,O94979-4,O94979-6,O94979-8,O94979-9";"SC31A_HUMAN";"Protein transport protein Sec31A";"SEC31A";3;4;1,46264770652204e-05;2;2;2;2;NA;NA;"ER to Golgi transport vesicle, COPII vesicle coat, ER to Golgi transport vesicle membrane, endoplasmic reticulum, intracellular membrane-bounded organelle, cytoplasm, cytosol, endoplasmic reticulum membrane, perinuclear region of cytoplasm, Golgi membrane, vesicle coat";0,000334196674743086
"133";133;"O95831";"O95831-1";"AIFM1_HUMAN";"Apoptosis-inducing factor 1, mitochondrial";"AIFM1";4;6;0,000305652807839271;3;3;3;3;NA;NA;"cytosol, nucleus, mitochondrial intermembrane space, perinuclear region of cytoplasm, mitochondrion, mitochondrial inner membrane";0,000501295012114629
"158";158;"P04843";"P04843";"RPN1_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1";"RPN1";3;3;0,000154337043826584;NA;3;NA;3;NA;0,000407863625826034;"melanosome, rough endoplasmic reticulum, endoplasmic reticulum membrane, oligosaccharyltransferase complex, integral component of membrane";0,000250647506057315
"239";239;"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;1;0,000523951821044387;1;0;1;0;0,000865257880289268;NA;"nucleus, mitochondrial inner membrane presequence translocase complex, mitochondrion, mitochondrial inner membrane, integral component of membrane";8,35491686857716e-05
"241";241;"P12270";"P12270";"TPR_HUMAN";"Nucleoprotein TPR";"TPR";6;7;9,25064323909092e-05;5;2;5;2;0,000172292256716174;6,9847149351503e-05;"nuclear pore, nucleus, mitotic spindle, nuclear periphery, kinetochore, extrinsic component of membrane, nucleoplasm, nuclear inclusion body, nuclear envelope, cytoplasmic dynein complex, cytoplasm, nuclear membrane, nuclear pore nuclear basket";0,000584844180800401
"245";245;"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";15;30;0,00153830189823869;13;12;16;14;0,00213925308437606;0,00189711280365059;"nuclear telomere cap complex, nucleoplasm, nonhomologous end joining complex, membrane, nucleus, transcription factor complex, cytosol, Ku70:Ku80 complex, nucleolus";0,00250647506057315
"258";258;"P14317";"P14317";"HCLS1_HUMAN";"Hematopoietic lineage cell-specific protein";"HCLS1";11;21;0,00134933765271431;9;8;11;10;0,001842959929557;0,0016980330649959;"membrane, mitochondrion, cytoplasm, nucleus, transcription factor complex";0,0017545325424012
"276";276;"P16219";"P16219";"ACADS_HUMAN";"Short-chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADS";1;1;7,57949721704987e-05;1;NA;1;NA;0,000197634273116659;NA;"mitochondrial membrane, mitochondrial matrix, nucleus, mitochondrion";8,35491686857716e-05
"304";304;"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";7;11;0,000586182276240103;5;6;5;6;0,000694755294573922;0,000844959798212977;"nuclear membrane, nucleoplasm, nuclear envelope, nuclear inner membrane, lamin filament";0,000919040855543487
"305";305;"P20810";"P20810-1,P20810-2,P20810-3,P20810-4,P20810-5,P20810-6,P20810-7";"ICAL_HUMAN";"Calpastatin";"CAST";1;1;6,3009541029551e-06;NA;1;NA;1;NA;NA;"cytosol, cytoplasm, membrane";8,35491686857716e-05
"336";336;"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";16;29;0,00112079000927366;12;15;13;16;0,00131006085001588;0,0016341466724515;"nucleoplasm, centrosome, intracellular membrane-bounded organelle, nucleus, alpha DNA polymerase:primase complex, perinuclear region of cytoplasm, MCM complex";0,00242292589188738
"344";344;"P26196";"P26196";"DDX6_HUMAN";"Probable ATP-dependent RNA helicase DDX6";"DDX6";4;8;0,000517226145494749;3;3;4;4;0,000674329776596801;0,000683431941687791;"cytoplasm, cytosol, intracellular membrane-bounded organelle, cytoplasmic stress granule, cytoplasmic mRNA processing body, RISC complex";0,000668393349486173
"370";370;"P29590";"P29590-1,P29590-2,P29590-3,P29590-4,P29590-5,P29590-8,P29590-9";"PML_HUMAN";"Protein PML";"PML";4;9;4,55211786213491e-05;3;4;4;5;NA;NA;"early endosome membrane, nuclear membrane, PML body, nuclear matrix, cytoplasm, cytosol, nucleus, nucleoplasm, nucleolus, extrinsic component of endoplasmic reticulum membrane";0,000751942518171944
"385";385;"P30153";"P30153";"2AAA_HUMAN";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform";"PPP2R1A";13;30;0,00194968960671668;12;11;15;15;0,00272166553109933;0,00238185894448152;"mitochondrion, chromosome, centromeric region, protein phosphatase type 2A complex, membrane, microtubule cytoskeleton, cytosol, nucleus";0,00250647506057315
"386";386;"P30154";"P30154-1,P30154-2";"2AAB_HUMAN";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform";"PPP2R1B";1;1;3,18460116016673e-05;1;0;1;0;NA;NA;"membrane raft";8,35491686857716e-05
"427";427;"P35658";"P35658-1,P35658-2,P35658-3,P35658-4,P35658-5";"NU214_HUMAN";"Nuclear pore complex protein Nup214";"NUP214";2;2;5,97656048502306e-06;2;NA;2;NA;NA;NA;"nuclear pore, nucleoplasm, nucleus, cytosol, intracellular membrane-bounded organelle, focal adhesion";0,000167098337371543
"429";429;"P35998";"P35998";"PRS7_HUMAN";"26S protease regulatory subunit 7";"PSMC2";8;15;0,00108178505314938;6;6;7;8;0,00131634467359918;0,00152470035951595;"proteasome complex, nucleoplasm, proteasome accessory complex, cytosol, cytoplasm, cytoplasmic mRNA processing body, nucleus, membrane";0,00125323753028657
"434";434;"P36873";"P36873-1,P36873-2";"PP1G_HUMAN";"Serine/threonine-protein phosphatase PP1-gamma catalytic subunit";"PPP1CC";1;2;0,000317661723258579;1;1;1;1;NA;NA;"nucleus, mitochondrion, nuclear speck, MLL5-L complex, cleavage furrow, midbody, PTW/PP1 phosphatase complex, mitochondrial outer membrane, nucleolus, cytoplasm, protein complex, cytosol, condensed chromosome kinetochore";0,000167098337371543
"452";452;"P40855";"P40855-1";"PEX19_HUMAN";"Peroxisomal biogenesis factor 19";"PEX19";1;1;0,000104439894763363;NA;1;NA;1;NA;NA;"intracellular membrane-bounded organelle, cytosol, brush border membrane, peroxisomal membrane, peroxisome, integral component of membrane, nucleus, cytoplasm, protein complex";8,35491686857716e-05
"455";455;"P40939";"P40939";"ECHA_HUMAN";"Trifunctional enzyme subunit alpha, mitochondrial";"HADHA";3;3;0,000122781894630061;NA;3;NA;3;NA;0,00032447342185636;"mitochondrial fatty acid beta-oxidation multienzyme complex, mitochondrial inner membrane, mitochondrion, mitochondrial nucleoid";0,000250647506057315
"461";461;"P42166";"P42166-1,P42167-1,P42167-2";"LAP2A_HUMAN, LAP2B_HUMAN";"Lamina-associated polypeptide 2, isoform alpha, Lamina-associated polypeptide 2, isoforms beta/gamma";"TMPO";4;6;0,000116957035708785;3;3;3;3;NA;NA;"chromatin, nuclear inner membrane, nuclear envelope, nucleus";0,000501295012114629
"463";463;"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";12;23;0,000515231819431597;10;10;12;11;0,00070093532732336;0,000651196898527122;"mitochondrial nucleoid, nucleoplasm, nuclear outer membrane, cytoskeleton, microtubule, nuclear inner membrane, ribonucleoprotein complex, nucleus, mitochondrion, condensed nuclear chromosome, perinuclear region of cytoplasm";0,00192163087977275
"468";468;"P43243";"P43243-1";"MATR3_HUMAN";"Matrin-3";"MATR3";17;41;0,00151160409669901;16;16;21;20;NA;NA;"nucleus, nuclear matrix, nuclear inner membrane";0,00342551591611663
