"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5747.3.id.csv";"peptide.count.P5747.4.id.csv";"spectra.count.P5747.3.id.csv";"spectra.count.P5747.4.id.csv";"dNSAF.P5747.3.id.csv";"dNSAF.P5747.4.id.csv";"Go.Cc";"norm.sc"
"1";1;"A6NHG4";"A6NHG4,P30046";"DDTL_HUMAN, DOPD_HUMAN";"D-dopachrome decarboxylase, D-dopachrome decarboxylase-like protein";"DDT, DDTL";2;3;0,000371756292074351;2;1;2;1;0,000646232702571934;0,000327477805392067;"cytoplasm";0,000250647506057315
"4";4;"A8MWD9";"A8MWD9,P62308";"RUXG_HUMAN, RUXGL_HUMAN";"Small nuclear ribonucleoprotein G, Small nuclear ribonucleoprotein G-like protein";"SNRPG";3;7;0,00143810986670867;3;3;3;4;0,00160707869455389;0,00217169491996844;"spliceosomal complex";0,000584844180800401
"6";6;"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";3;4;0,000602266702685544;2;2;2;2;0,000762766468609496;0,000816010269173674;"nucleus, cytoplasm";0,000334196674743086
"7";7;"O00151";"O00151";"PDLI1_HUMAN";"PDZ and LIM domain protein 1";"PDLIM1";11;15;0,00142374750156134;9;6;9;6;0,00222744037907773;0,00150500438222737;"cytoplasm, transcription factor complex, cytoskeleton";0,00125323753028657
"12";12;"O00233";"O00233-1,O00233-2";"PSMD9_HUMAN";"26S proteasome non-ATPase regulatory subunit 9";"PSMD9";2;4;0,000280067520486507;2;2;2;2;NA;NA;"nucleoplasm, nucleus, cytosol, proteasome regulatory particle";0,000334196674743086
"13";13;"O00244";"O00244";"ATOX1_HUMAN";"Copper transport protein ATOX1";"ATOX1";2;5;0,00229614180398864;2;2;2;3;0,00239486236835481;0,00364078265994709;"cytosol";0,000417745843428858
"14";14;"O00267";"O00267-1,O00267-2";"SPT5H_HUMAN";"Transcription elongation factor SPT5";"SUPT5H";3;3;4,30922656866313e-05;NA;3;NA;3;NA;NA;"nucleus, DSIF complex, nucleoplasm";0,000250647506057315
"15";15;"O00273";"O00273-1,O00273-2";"DFFA_HUMAN";"DNA fragmentation factor subunit alpha";"DFFA";1;1;4,71714932541473e-05;NA;1;NA;1;NA;NA;"nucleus, nucleoplasm, cytoplasm, nuclear chromatin, cytosol";8,35491686857716e-05
"17";17;"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";6;12;0,00104966482468052;5;5;6;6;0,00136849278191704;0,00138696482283699;"eukaryotic 43S preinitiation complex, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 48S preinitiation complex";0,00100259002422926
"19";19;"O00425";"O00425-1";"IF2B3_HUMAN";"Insulin-like growth factor 2 mRNA-binding protein 3";"IGF2BP3";2;2;0,000151013954915177;0;2;0;2;NA;NA;"nucleus, cytosol, cytoplasm";0,000167098337371543
"21";21;"O00505";"O00505";"IMA4_HUMAN";"Importin subunit alpha-4";"KPNA3";1;1;6,85001996912432e-05;NA;1;NA;1;NA;0,000197995218231288;"cytosol, nuclear pore, nucleoplasm";8,35491686857716e-05
"22";22;"O00541";"O00541-1,O00541-2";"PESC_HUMAN";"Pescadillo homolog";"PES1";4;8;0,000212432166899629;4;4;4;4;NA;NA;"cytoplasm, nucleolus, condensed chromosome, PeBoW complex, nucleoplasm, preribosome, large subunit precursor";0,000668393349486173
"24";24;"O00625";"O00625";"PIR_HUMAN";"Pirin";"PIR";2;2;0,000215362265753417;NA;2;NA;2;NA;0,000569133841095178;"nucleus, cytoplasm";0,000167098337371543
"27";27;"O14508";"O14508";"SOCS2_HUMAN";"Suppressor of cytokine signaling 2";"SOCS2";1;1;0,000157714790576997;1;NA;1;NA;0,000411238992545776;NA;"cytosol, cytoplasm";8,35491686857716e-05
"30";30;"O14579";"O14579-1,O14579-2";"COPE_HUMAN";"Coatomer subunit epsilon";"COPE";3;4;0,000202776159313282;1;3;1;3;NA;NA;"COPI vesicle coat, cytosol, nucleus, Golgi apparatus";0,000334196674743086
"32";32;"O14744";"O14744-1,O14744-2";"ANM5_HUMAN";"Protein arginine N-methyltransferase 5";"PRMT5";4;7;0,000171579827111239;4;3;4;3;NA;NA;"nucleus, cytoplasm, methylosome, cytosol";0,000584844180800401
"34";34;"O14776";"O14776-1,O14776-2";"TCRG1_HUMAN";"Transcription elongation regulator 1";"TCERG1";2;2;2,84403720712618e-05;2;NA;2;NA;NA;NA;"nucleus";0,000167098337371543
