"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767.3.id.csv";"peptide.count.P5767.4.id.csv";"spectra.count.P5767.3.id.csv";"spectra.count.P5767.4.id.csv";"dNSAF.P5767.3.id.csv";"dNSAF.P5767.4.id.csv";"Go.Cc";"norm.sc"
"3";3;"O15347";"O15347";"HMGB3_HUMAN";"High mobility group protein B3";"HMGB3";2;2;0,00118708426804533;2;NA;2;NA;0,00292909799024367;NA;"nucleus, chromosome";0,000584453535943892
"6";6;"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";1;1;0,000149318775854759;NA;1;NA;1;NA;0,000347425470746768;"U12-type spliceosomal complex, nucleus, nucleolus";0,000292226767971946
"7";7;"O43148";"O43148-1,O43148-2";"MCES_HUMAN";"mRNA cap guanine-N7 methyltransferase";"RNMT";2;2;0,000249387451270028;NA;2;NA;2;NA;NA;"nucleus, nucleoplasm, receptor complex, nucleolus, mRNA cap binding complex";0,000584453535943892
"10";10;"O60234";"O60234";"GMFG_HUMAN";"Glia maturation factor gamma";"GMFG";2;2;0,00167194967330328;2;NA;2;NA;0,00412549012710376;NA;"intracellular";0,000584453535943892
"14";14;"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";4;5;0,000486509945920218;2;3;2;3;0,000480179998400602;0,00067918831781233;"cytosol";0,00146113383985973
"16";16;"O75821";"O75821";"EIF3G_HUMAN";"Eukaryotic translation initiation factor 3 subunit G";"EIF3G";2;2;0,000741927667528332;NA;2;NA;2;NA;0,001726270307773;"eukaryotic 48S preinitiation complex, cytosol, nucleus, perinuclear region of cytoplasm, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex";0,000584453535943892
"17";17;"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle subunit SRP72";"SRP72";2;3;0,000530738122822056;2;1;2;1;0,000873054542546549;0,000411629283522624;"cytosol, signal recognition particle, endoplasmic reticulum targeting, endoplasmic reticulum";0,000876680303915839
"18";18;"O94776";"O94776";"MTA2_HUMAN";"Metastasis-associated protein MTA2";"MTA2";3;3;0,000533121677265867;NA;3;NA;3;NA;0,00124043375408839;"nuclear chromatin, protein complex, nucleus, histone deacetylase complex, transcription factor complex, NuRD complex";0,000876680303915839
"27";27;"P02795";"P02795,P13640-1,P13640-2,P80297";"MT1G_HUMAN, MT1X_HUMAN, MT2_HUMAN";"Metallothionein-1G, Metallothionein-1X, Metallothionein-2";"MT1G, MT1X, MT2A";2;4;0,00193021832202493;2;2;2;2;0,00480179998400602;0,00452792211874886;"perinuclear region of cytoplasm, nucleus, cytosol, cytoplasm";0,00116890707188778
"36";36;"P05165";"P05165-1,P05165-2";"PCCA_HUMAN";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";34;83;0,00676703257196171;31;32;41;42;NA;NA;"cytosol, mitochondrial matrix";0,0242548217416715
