"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc"
"21";21;"O00400";"O00400";"ACATN_HUMAN";"Acetyl-coenzyme A transporter 1";"SLC33A1";5;7;0,000238486952357993;3;4;3;4;0,000204657214875694;0,000272332103490964;"endoplasmic reticulum membrane, Golgi membrane, membrane, integral component of plasma membrane";0,000331863651448348
"50";50;"O14975";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";11;26;0,000392184649534331;10;11;11;15;0,000332237881890944;0,000452148159727437;"endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum membrane, integral component of peroxisomal membrane, integral component of endoplasmic reticulum membrane, mitochondrion, peroxisomal membrane";0,00123263641966529
"75";75;"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;11;0,000442464732807963;5;4;6;5;0,000483255100932283;0,000401909475313277;"actin cytoskeleton, plasma membrane, integral component of plasma membrane, membrane, nuclear membrane";0,000521500023704547
"106";106;"O43772";"O43772";"MCAT_HUMAN";"Mitochondrial carnitine/acylcarnitine carrier protein";"SLC25A20";8;14;0,000869962371060054;7;7;7;7;0,000870983030750045;0,000869246074514763;"mitochondrial inner membrane, mitochondrion, integral component of membrane";0,000663727302896696
"107";107;"O43808";"O43808";"PM34_HUMAN";"Peroxisomal membrane protein PMP34";"SLC25A17";5;11;0,000670182738617924;5;4;6;5;0,000731966195223164;0,00060875539420415;"peroxisomal membrane, peroxisome, membrane, mitochondrion, intracellular membrane-bounded organelle, integral component of peroxisomal membrane";0,000521500023704547
"110";110;"O43826";"O43826-1,O43826-2";"G6PT1_HUMAN";"Glucose-6-phosphate translocase";"SLC37A4";2;4;8,71990255374879e-05;2;2;2;2;8,73013294224986e-05;8,71272289140671e-05;"endoplasmic reticulum, membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, endoplasmic reticulum membrane";0,000189636372256199
"142";142;"O75387";"O75387-1,O75387-2";"LAT3_HUMAN";"Large neutral amino acids transporter small subunit 3";"SLC43A1";2;3;5,01901367919262e-05;1;2;1;2;3,34993473365402e-05;6,68650826549817e-05;"integral component of plasma membrane, plasma membrane";0,000142227279192149
"151";151;"O75746";"O75746";"CMC1_HUMAN";"Calcium-binding mitochondrial carrier protein Aralar1";"SLC25A12";5;10;0,000418565966342595;5;5;5;5;0,000441914694067869;0,000393779827266485;"mitochondrial inner membrane, integral component of membrane, mitochondrion";0,000474090930640497
"258";258;"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;61;0,00714878150048098;5;5;31;30;0,00741864827519552;0,00687684772979186;"mitochondrial nucleoid, mitochondrion, extracellular vesicular exosome, integral component of plasma membrane, mitochondrial inner membrane, MMXD complex, nucleus, membrane";0,00289195467690703
"287";287;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";22;63;0,000467604774444779;21;22;30;33;0,000445860360979189;0,000489468325292241;"integral component of membrane, apical plasma membrane, melanosome, extracellular vesicular exosome, plasma membrane, cytoplasm, cell junction, membrane, nucleus";0,00298677286303513
